	sample_SM11_norm1_sequence_fastq	sample_SM12_norm2_sequence_fastq	sample_SM13_norm3_sequence_fastq	sample_SM1_crc1_sequence_fastq	sample_SM2_crc2_sequence_fastq	sample_SM3_crc3_sequence_fastq	sample_SM6_uc1_sequence_fastq	sample_SM7_uc2_sequence_fastq	sample_SM8_uc3_sequence_fastq
hsa-let-7d-5p	928.025162454297	752.108545110162	716.40127349266	395.230514022333	806.788511749347	569.10325586968	175.143809487321	254.985497699818	1347.76134117171
hsa-miR-4446-3p	840.212028802708	148.409378466554	66.5846278289219	77.9327774128544	135.770234986945	68.4635495783073	43.7859523718303	127.492748849909	116.745448224691
hsa-miR-25-3p	632.653712898951	435.166482622268	569.668482536332	612.328965386714	563.968668407311	641.845777296631	197.036785673236	191.239123274864	1655.19102149673
hsa-miR-30e-3p	509.914901090479	198.717642353521	369.914599049566	100.199285245099	344.647519582245	192.553733188989	82.0986606971818	185.926925406118	99.8822168144578
hsa-miR-423-3p	490.955247233886	442.712722205313	345.253625779595	89.0660313289765	558.746736292428	445.013072258998	153.250833301406	239.04890409358	461.793106311
hsa-miR-27a-3p	476.984975971133	291.787930544411	480.888978764436	333.997617483662	417.754569190601	361.573121210436	257.242470184503	249.673299831072	211.438978451385
hsa-miR-27b-3p	449.044433445628	261.60297221223	234.279246064725	144.732300909587	250.65274151436	378.689008605012	175.143809487321	350.60505933725	201.061605275857
hsa-miR-10a-5p	443.057174333019	347.127020820075	670.778472943213	133.599046993465	438.642297650131	320.922888648316	1280.73910687604	366.541652943489	373.585434319011
hsa-miR-26b-5p	443.057174333019	289.272517350063	399.507766973531	55.6662695806103	349.869451697128	269.575226464585	169.670565440842	95.6195616374319	298.349478796432
hsa-miR-183-5p	437.069915220411	256.572145823534	98.6438930798843	222.665078322441	203.655352480418	684.635495783073	169.670565440842	63.7463744249546	1564.38900621086
hsa-miR-17-5p	360.23342327527	171.048097215689	283.601192604667	128.032420035404	211.488250652742	365.85209305908	197.036785673236	278.890388109176	465.684621251823
hsa-miR-23a-3p	342.271645937445	199.975348950695	262.639365325192	217.09845136438	237.597911227154	241.761909448398	177.880431510561	100.931759506178	95.9907018736347
hsa-miR-7-5p	327.303498155924	22.6387187491353	24.6609732699711	222.665078322441	83.5509138381201	47.0686903350863	71.1521726042242	0	137.500194575747
hsa-miR-199a-3p|hsa-miR-199b-3p	321.316239043316	140.863138883509	224.414856756737	33.3997617483662	292.42819843342	166.879902097124	87.5719047436606	138.117144587402	134.905851281865
hsa-miR-98-5p	313.333226893171	153.440204855251	140.567547638835	66.7995234967324	182.767624020888	115.532239913394	49.2591964183091	100.931759506178	267.217359269848
hsa-miR-134-5p	309.341720818099	135.832312494812	493.219465399421	44.5330156644883	694.516971279373	376.54952268069	38.3127083253515	138.117144587402	363.208061143483
hsa-miR-28-3p	301.358708667955	206.263881936566	165.228520908806	0	308.093994778068	222.506536129499	125.884613069012	106.243957374924	124.528478106337
hsa-miR-186-5p	293.37569651781	216.32553471396	244.143635372714	100.199285245099	313.31592689295	316.643916799671	93.0451487901394	90.3073637686857	550.000778302988
hsa-miR-20a-5p	293.37569651781	201.23305554787	266.338511315688	189.265316574075	276.762402088773	278.133170161874	191.563541626758	95.6195616374319	579.835726182631
hsa-miR-1285-3p	291.379943480274	279.210864572669	268.804608642685	0	281.984334203655	380.828494529334	65.6789285577455	53.1219786874622	884.671063213769
hsa-miR-142-5p	271.422413104913	138.34772568916	276.202900623676	11.1332539161221	344.647519582245	231.064479826787	109.464880929576	95.6195616374319	163.443627514567
hsa-miR-584-5p	261.443647917232	125.770659717418	246.609732699711	0	177.545691906005	132.64812730797	93.0451487901394	138.117144587402	225.707866567736
hsa-miR-221-3p	235.498858429263	130.801486106115	244.143635372714	100.199285245099	182.767624020888	205.390648734922	65.6789285577455	132.804946718655	129.717164694101
