	sample_SM11_norm1_sequence_fastq	sample_SM12_norm2_sequence_fastq	sample_SM13_norm3_sequence_fastq	sample_SM1_crc1_sequence_fastq	sample_SM2_crc2_sequence_fastq	sample_SM3_crc3_sequence_fastq	sample_SM6_uc1_sequence_fastq	sample_SM7_uc2_sequence_fastq	sample_SM8_uc3_sequence_fastq
hsa_piR_018569|gb|DQ595533|Homo_sapiens:4:101908752:101908780:Plus	0	0	0.493219465399421	0	0	0	0	0	0.518868658776404
hsa_piR_009295|gb|DQ582567|Homo_sapiens:17:7969790:7969818:Plus	0	0	0.493219465399421	0	0	0	0	0	0.518868658776404
hsa_piR_001312|gb|DQ571813|Homo_sapiens:2:156965943:156965973:Minus	0	0	0.493219465399421	0	0	0	0	0	0.518868658776404
hsa_piR_001713|gb|DQ572313|Homo_sapiens:7:61604873:61604901:Plus	0	0	0	22.2665078322441	0	0	0	0	0
hsa_piR_019443|gb|DQ596699|Homo_sapiens:19:52056125:52056151:Plus	0	0	0	11.1332539161221	0	0	0	0	0
hsa_piR_014245|gb|DQ589468|Homo_sapiens:10:101958778:101958807:Minus	0	0	0	11.1332539161221	0	0	0	0	5.18868658776404
hsa_piR_002753|gb|DQ573706|Homo_sapiens:17:20845203:20845232:Minus	0	0	0	11.1332539161221	0	0	0	0	0
hsa_piR_006813|gb|DQ579298|Homo_sapiens:8:101977176:101977202:Plus	0	0	0	0	10.443864229765	0	0	0	0
hsa_piR_006169|gb|DQ578458|Homo_sapiens:11:74227250:74227279:Plus	0	0	0	0	5.22193211488251	0	0	0	0
hsa_piR_016649|gb|DQ592919|Homo_sapiens:4:79858986:79859015:Plus	0	0	0	0	5.22193211488251	0	0	0	0
hsa_piR_004153|gb|DQ575660|Homo_sapiens:3:156861576:156861607:Plus	0	0	0	0	5.22193211488251	0	0	0	0
hsa_piR_020572|gb|DQ598296|Homo_sapiens:Y:10516516:10516542:Minus	0	0	0	0	0	8.55794369728842	0	0	0
hsa_piR_019736|gb|DQ597085|Homo_sapiens:14:39036017:39036043:Plus	0	0	0	0	0	4.27897184864421	0	0	0
hsa_piR_016526|gb|DQ592763|Homo_sapiens:10:44814152:44814181:Minus	0	0	0	0	0	4.27897184864421	0	0	0
hsa_piR_020828|gb|DQ598675|Homo_sapiens:2:149355860:149355890:Minus	0	0	0	0	0	4.27897184864421	0	0	0
hsa_piR_005904|gb|DQ578109|Homo_sapiens:17:26321402:26321429:Plus	0	0	0	0	0	4.27897184864421	0	0	0
hsa_piR_004446|gb|DQ576122|Homo_sapiens:12:9379886:9379915:Minus	0	0	0	0	0	4.27897184864421	0	0	0
hsa_piR_009799|gb|DQ583196|Homo_sapiens:1:100061187:100061217:Plus	0	0	0	0	0	4.27897184864421	10.9464880929576	10.6243957374924	0
hsa_piR_002245|gb|DQ573029|Homo_sapiens:7:101059501:101059527:Plus	0	0	0	0	0	4.27897184864421	0	0	0
hsa_piR_012753|gb|DQ587269|Homo_sapiens:2:232029453:232029478:Minus	0	0	0	0	0	0	10.9464880929576	0	0
hsa_piR_001042|gb|DQ571335|Homo_sapiens:11:93104320:93104349:Minus	0	0	0	0	0	0	10.9464880929576	0	0
hsa_piR_012564|gb|DQ586995|Homo_sapiens:15:100138734:100138764:Plus	0	0	0	0	0	0	5.47324404647879	0	0
hsa_piR_007248|gb|DQ579880|Homo_sapiens:12:9377657:9377685:Minus	0	0	0	0	0	0	5.47324404647879	0	0
hsa_piR_016677|gb|DQ592953|Homo_sapiens:2:205927199:205927228:Plus	0	0	0	0	0	0	5.47324404647879	0	0
hsa_piR_011349|gb|DQ585326|Homo_sapiens:3:100040517:100040543:Minus	0	0	0	0	0	0	5.47324404647879	0	2.59434329388202
hsa_piR_001207|gb|DQ571591|Homo_sapiens:16:88155360:88155385:Plus	0	0	0	0	0	0	5.47324404647879	0	0
hsa_piR_005562|gb|DQ577643|Homo_sapiens:4:17230634:17230660:Plus	0	0	0	0	0	0	5.47324404647879	0	0
hsa_piR_011246|gb|DQ585182|Homo_sapiens:12:104959083:104959108:Minus	0	0	0	0	0	0	5.47324404647879	0	0
hsa_piR_001634|gb|DQ572217|Homo_sapiens:3:12877497:12877526:Minus	0	0	0	0	0	0	5.47324404647879	0	0
hsa_piR_011028|gb|DQ584882|Homo_sapiens:7:152761561:152761588:Plus	0	0	0	0	0	0	5.47324404647879	0	0
hsa_piR_001101|gb|DQ571419|Homo_sapiens:1:45016687:45016714:Plus	0	0	0	0	0	0	5.47324404647879	0	0
hsa_piR_008920|gb|DQ582101|Homo_sapiens:15:100112923:100112951:Minus	0	0	0	0	0	0	0	10.6243957374924	0
hsa_piR_004116|gb|DQ575612|Homo_sapiens:12:9383685:9383713:Minus	0	0	0	0	0	0	0	5.31219786874621	0
hsa_piR_020497|gb|DQ598177|Homo_sapiens:6:28939482:28939513:Minus	0	0	0	0	0	0	0	5.31219786874621	0
hsa_piR_014620|gb|DQ590013|Homo_sapiens:5:93930930:93930956:Minus	0	0	0	0	0	0	0	5.31219786874621	0
hsa_piR_022761|gb|DQ601135|Homo_sapiens:22:14635484:14635511:Minus	0	0	0	0	0	0	0	5.31219786874621	0
