	sample_DKO1_cell_1_fastq	sample_DKO1_cell_2_fastq	sample_DKO1_cell_3_fastq	sample_DKO1_exo_1_fastq	sample_DKO1_exo_2_fastq	sample_DKO1_exo_3_fastq	sample_DKS8_cell_1_fastq	sample_DKS8_cell_2_fastq	sample_DKS8_cell_3_fastq	sample_DKS8_exo_1_fastq	sample_DKS8_exo_2_fastq	sample_DKS8_exo_3_fastq	sample_DLD1_cell_1_fastq	sample_DLD1_cell_2_fastq	sample_DLD1_cell_3_fastq	sample_DLD1_exo_1_fastq	sample_DLD1_exo_2_fastq	sample_DLD1_exo_3_fastq
Met	180.985323382085	150.811365144477	177.866174494655	37.4846529180649	32.5509624830401	18.5707404944479	225.65652445208	206.986685226183	194.757097055673	57.0133200467509	45.4690128677306	48.7867577728095	223.245011004033	239.160530594857	207.335945653626	43.9694012051524	44.3146910291112	18.3494655718152
Tyr	120.142917938746	134.481339600332	121.042537115581	33.5792066405224	30.0843831565825	50.1805115488274	82.1016233053247	79.7661856201046	87.507706873909	46.6848200382816	49.6854376198761	36.7599744818018	132.01152838613	104.969244236814	147.742994422161	48.561471475063	48.0814397665857	24.2717798568984
Asp	96.8952222934675	56.9236548459943	92.1165006781004	1238.47117462616	1323.92795732772	127.075669884585	121.000991890251	93.4996820761829	123.266029337253	355.440572791461	404.950877828612	610.249591474195	104.647370299441	87.3323163593633	147.77680612272	558.973614280281	249.512812727719	485.027022177044
Thr	96.734216725377	78.7989382879894	81.003625278736	77.8239063275824	56.6819505665655	20.1907412609849	118.515612770085	114.410471701297	127.590917158919	15.9885180131106	40.3158580760545	29.7411581038088	94.0888328447047	115.74440006895	123.952755543381	31.8533884286215	43.2511384444125	28.696525324811
Asn	86.3404128297635	74.5606188882393	89.5405536902735	57.3803533130378	63.0322105885459	5.92683207269615	61.9414415688006	48.387125621534	42.3958388930195	32.2249200264244	31.8283090074115	39.8737924104693	64.299626131849	48.9807527922966	80.4835629972482	25.4045429185325	19.4984640528089	20.3882950797947
Cys	78.1579062147309	68.125263068454	79.1257144549167	1259.66819593077	1058.97187115884	239.516201512169	150.876236998429	141.383091435203	149.108342137179	320.980610763204	412.403401273066	497.727613677318	86.8108464609325	72.4804846442995	105.820919824666	399.665220359288	452.604184796326	528.404115724635
iMet	65.0057627282412	58.4914079125004	57.741710290182	358.728128425881	207.91221701595	14.5800068988325	98.3979809342459	80.9191291612869	92.4174983957075	86.8833420712443	118.825686961003	163.99856266706	91.5320366874935	97.3891030617656	93.9479184610738	118.131124571176	194.275605471623	141.290884902977
Ser	62.9678853229473	57.4244411422481	51.4666500376784	661.191783459946	722.787435107408	175.025936475687	67.4838985771004	58.2709610276544	78.5064076349634	664.130479494082	687.643037936313	699.446835254158	60.1473528989308	61.1405458480249	63.9412076000308	270.972908423699	135.109852896175	176.71554760412
Ile	34.0601244796275	23.4289474236597	32.2983158087364	57.2886076590425	60.2998253850299	12.2619570215114	34.6761607404496	36.112351281749	41.6074918596792	23.5640032920498	5.75940829657922	22.0364894811798	35.5621348499975	45.0770333599345	51.9425218630509	13.9162414588698	13.0877221885185	16.9732556539291
Phe	11.7889500974729	12.0676951357912	11.0950721620538	17.2266383254231	15.383691016792	9.0878091781341	19.5715103235938	14.5700636837213	17.9817056848023	19.8307200162612	21.3566575590856	10.2205150485277	13.8969558738213	13.9401401032265	17.600647830435	8.02616053744846	12.4081134881511	7.92363286055657
Trp	9.02949355547909	4.48533801507282	7.69457494398552	13.2638002633153	19.0037411028153	0	8.41692316054516	7.7825446803866	13.0329385801048	28.5066600233755	24.250140196123	22.9860685660352	12.4675456180849	11.1407202429538	13.1113573805041	5.86258682735366	17.7258764116445	22.4271245877742
SeC	1.91959123944035	2.34830196803631	2.52098573822683	30.276065818437	29.9167805479964	17.7804962180885	4.58114752655376	4.01816165563439	6.28373824397909	26.0278200213428	21.2188726716076	26.2697926468974	3.11688640452123	2.82359633743828	3.75438675760973	9.77097804558943	7.09035056465779	7.13590327792814
Und	1.71883121009307	1.55476597668781	1.69476012600962	38.1734558597532	25.1454042869733	5.33853911140631	2.08434067244212	2.25154278209287	2.63853258589813	8.34542800684325	13.0007696051437	18.0156197744762	2.81437786124982	2.32469367392056	3.37164149227768	48.1999776535162	28.9789943018623	40.2248116975092
tRNA	1.29660411772108	1.754147344059	0.846403243838407	0	0	0	1.4958629125271	1.02202006450507	1.70669433787086	0	0	0	0.961962910633962	1.7991622921092	3.27783934512602	0	0	0
Sup	0.795614687813475	0.570055224874012	0.590980989982769	2.69235007070228	3.47640337005768	0.658536896966239	1.65159750245152	1.47226133616541	1.44865647072868	2.28210666853799	2.98916658667488	2.55586914003615	0.856457826812598	0.798602604597872	0.76723598564296	7.87106564783593	4.13603782938371	1.35921967198631
Undet	0	0.162512246922928	0.161991051452327	0	0	0	0.0740926334555032	0.13465804903952	0.0775770153577666	0	0	0	0.253148134377358	0.0768325533996811	0.226927339277956	0	0	0
