	sample_NEB_Lib_41_fastq	sample_NEB_Lib_42_fastq	sample_NEB_Lib_43_fastq	sample_NEB_Lib_44_fastq	sample_NEB_Lib_45_fastq	sample_NEB_Lib_46_fastq	sample_NEB_Lib_47_fastq	sample_NEB_Lib_48_fastq	sample_NEB_Lib_49_fastq	sample_NEB_Lib_50_fastq	sample_NEB_Lib_51_fastq	sample_NEB_Lib_52_fastq	sample_NEB_Lib_53_fastq	sample_NEB_Lib_54_fastq	sample_NEB_Lib_55_fastq	sample_NEB_Lib_56_fastq	sample_NEB_Lib_57_fastq	sample_NEB_Lib_58_fastq	sample_NEB_Lib_59_fastq	sample_NEB_Lib_60_fastq	sample_NEB_Lib_61_fastq	sample_NEB_Lib_62_fastq	sample_NEB_Lib_63_fastq	sample_NEB_Lib_64_fastq	sample_NEB_Lib_65_fastq	sample_NEB_Lib_66_fastq	sample_NEB_Lib_67_fastq	sample_NEB_Lib_68_fastq	sample_NEB_Lib_69_fastq	sample_NEB_Lib_70_fastq	sample_NEB_Lib_71_fastq	sample_NEB_Lib_72_fastq	sample_NEB_Lib_73_fastq	sample_NEB_Lib_74_fastq	sample_NEB_Lib_75_fastq	sample_NEB_Lib_76_fastq	sample_NEB_Lib_77_fastq	sample_NEB_Lib_78_fastq	sample_NEB_Lib_79_fastq	sample_NEB_Lib_80_fastq	sample_NEB_Lib_81_fastq	sample_NEB_Lib_82_fastq	sample_NEB_Lib_83_fastq	sample_NEB_Lib_84_fastq	sample_NEB_Lib_85_fastq	sample_NEB_Lib_86_fastq	sample_NEB_Lib_87_fastq	sample_NEB_Lib_88_fastq
iMet	344.109404510539	165.288669713025	140.550576954082	210.245330759628	192.617671705531	189.739068593473	417.554571766896	289.682155157525	199.306154548683	211.223025012223	595.322225188582	296.788719024743	354.021745952253	181.206249418382	129.73457968422	430.604345591885	188.095252129117	153.06199768639	313.110756340477	482.593332754077	102.915010497331	103.838329385056	340.999751014532	146.80919392577	341.107775541847	161.178359794192	158.551535376389	308.737983902554	188.279340046582	214.349275983478	267.196046500964	212.8934796194	177.809729211598	102.61548823475	174.765306265401	194.760948136518	234.351718845828	80.0518933777773	229.269815781257	88.6992044059577	196.988127694306	184.156485423228	155.914091097202	281.584271213514	182.168217336492	174.257585309985	376.302204753844	469.216539453902
Leu	256.216697271727	223.595201894781	171.090451556913	143.782945218223	609.430815573425	532.591082796966	559.224872902093	322.224802973035	219.891620794985	302.874068911938	1358.65663538528	441.199467337187	462.329699502043	946.349565782838	456.42247252714	1148.47799445133	523.268180818325	387.86702537708	677.072452392869	818.217009983599	260.870493275457	350.403935135431	611.509589138797	282.192267263522	896.542782522589	486.808999469396	329.074122178736	326.410927594171	479.368401321014	543.688531794792	551.33449229755	350.570564863524	482.520594670128	273.610957607387	326.670322847997	404.14452745564	432.39078148998	209.432241121901	270.306436504751	208.998632577911	348.877420221024	308.22972593038	1480.73601674582	429.492172015985	244.627455153229	208.033138870825	366.797996847984	356.776282862585
Asp	248.699701598861	230.14131581141	221.448801776047	113.076538891678	565.800301985842	658.391132199743	912.660910299737	360.251238904812	339.835174174816	414.156351313812	764.123258312684	698.696232108619	655.305416396115	495.192501825529	440.89929218693	561.768878785927	436.100760591329	310.83309292907	455.397506243674	942.363822546359	254.774730114007	346.028640448499	592.041753021652	332.166866863188	322.967553198807	408.738704240309	405.225322695699	385.067064962511	446.706540586761	521.778720388593	372.78356726667	365.946123942543	591.810404894517	275.994581042019	454.960666764855	402.822514882831	432.901721885614	195.702878591186	361.394568874831	316.386099815598	313.219548292546	476.039265260847	502.859376050663	737.289633823927	303.029114555578	683.604989715497	386.65017119568	257.223795427806
Gln	233.688599897909	343.34113353925	189.584819934036	180.470797957479	239.698925271886	254.288044748044	137.291185728345	288.491176249588	212.268189659546	216.21701378199	182.602889059891	242.567703049069	209.530848934596	236.021929718744	144.210791283273	253.060253332094	171.192683389404	186.383210535308	145.133441413274	249.385478246225	140.055894285701	178.905292601728	240.190220420103	288.13019368609	216.978614035982	206.119460825958	242.56018471761	242.781245981341	504.577789904108	425.289535247596	189.825967979132	168.209412378749	322.85471537808	147.0619732847	237.670698734343	365.176777755971	373.640849789361	193.767349649895	172.244010060148	169.444193513474	315.599256769402	330.625101871598	423.04242301379	280.951147037493	200.086119392637	375.502767366688	241.042513068368	330.94839587879
SeC	127.05814950971	75.1043329286373	73.2432498372023	63.9629470533563	230.577028211651	184.306866220653	66.8702758073402	117.512348865733	127.638388553453	135.348445635183	396.532499960739	153.951638158078	245.91959197841	596.696755692961	280.703036664983	412.145489111467	162.958098618774	220.689637753272	193.945136955855	204.550062270107	81.966088360541	115.31137556886	178.943313348931	62.1709495304807	91.7698077332558	179.947743651926	89.1641097132677	163.300123377651	124.194497497138	254.388196387688	174.673661078176	117.211591469533	176.023353593447	105.475850276137	98.4538465489786	176.502109248719	62.6678691064051	89.9611476066276	117.688636355838	140.071381288174	120.597356416339	193.992826020912	277.575333070516	116.715065492567	102.764438263187	120.872313509816	209.30563060651	147.71920763209
Trp	56.7269718013047	87.8188459834853	52.3166070265731	65.0582029960507	101.490686619756	98.666532894064	37.8734305457502	78.4205392632213	57.8733066111928	97.0422817761688	272.20712868592	48.062950449351	35.8632738301848	127.094254822688	117.825966007524	81.9906451743025	130.366478895019	81.4562611449846	67.0347285451446	54.9087187804713	63.1212064383631	92.0748263358402	163.111867395809	87.039329342673	83.672471756792	75.6733888867372	91.699582027389	140.631211649134	71.6738370618786	97.0040593229315	115.975134931071	82.3344948804309	181.251770036817	52.7379251380683	57.5935545029598	118.638349295116	131.537246093132	69.8382593261978	49.4086403359788	118.595036531643	82.5139807059164	114.40679595596	131.497005924523	150.665202467606	102.202883955738	91.5699344771334	123.791657012411	137.316446531238
Tyr	56.043185253177	46.5371038444488	41.678846972607	35.0277057940461	112.928673105445	79.1457041069482	17.1613982160431	78.2036294694578	44.6406034826934	71.6503579960266	84.1766893481013	50.4267607355877	50.5684359398065	55.9609778380781	64.6398044712503	41.7770874546459	57.9516642504455	64.3075026533217	39.2043141976921	41.143794402114	49.5645703429304	48.4002567159206	60.5594862905753	79.2809071321205	43.3483574380219	70.166258461909	50.838902937619	54.5306904944152	123.450536237631	177.843132180946	91.6129959301813	71.856325493618	160.399718598529	57.7457514483516	70.5953988241791	74.8065587672273	65.8650815271529	42.0234118242662	55.1298049660576	46.2439793191277	73.1580011853731	65.3608493310151	72.7290211851111	43.0853838631492	39.3360539861192	73.7538343250109	78.038156230762	59.9639242827918
Thr	41.1719741037523	42.5788344162353	20.0463152885475	24.3741386789918	38.2659748946996	60.2531018291279	35.1512777252744	47.2181675986707	27.1661000896376	28.4033111280541	78.3249839031361	42.6558685237991	53.2825782619889	40.347040556423	33.7725763529587	58.2703569179936	41.4577290407033	32.2667825155714	38.333451566107	59.8565373958545	25.705882622	27.7386306469171	58.6243241051995	40.6683762963179	34.6685940325633	43.1993755455783	30.371336219868	42.0004558970025	42.4020010853467	44.1219994318334	37.0053993757072	42.8037094502613	37.2088970219811	22.2460188453165	44.810120277134	32.8129858273481	39.4938133430991	21.9153472365018	36.9878571404063	20.7731370078662	44.3932683526401	65.5675923041721	60.1545779118435	68.5609252641871	32.251935724494	38.7569747674467	52.0820820127872	48.8173207296317
Ile	34.0742966364974	77.7108723845225	15.4053505422654	25.2651009401674	35.5012990910093	69.7250217983078	5.32595117049612	36.3301653029297	28.9166334818068	33.2898190789133	29.8628748657801	20.679357515779	28.9817170660163	30.1853750976413	23.4778612094804	13.8843338530459	55.3815882417421	34.4835332446403	16.0279858454366	34.4478903449915	28.2390472440192	29.2789322059241	49.7367625960704	164.613342753694	16.1983071205937	36.7731863055903	40.331205638507	37.9488013596666	73.3545766774721	72.7327978193343	23.4955686106959	53.7932647004885	91.7217399800238	35.665816372585	70.7018663755008	38.3286222657338	45.0039569477674	20.8036434900186	32.492003587949	36.7516757293789	55.5946184970952	139.928368002642	52.7699220072844	72.0054321998692	23.908107468078	34.9977514725104	31.9486756107437	35.8737640386936
Met	26.6950455535551	31.0470667618382	21.5051437537115	14.7859552263752	34.8011871037532	27.7153182286697	27.8133005570353	22.033565412325	15.3271770933753	18.7274578866291	29.1183106406814	28.5373768293022	23.054961747976	49.1143899992762	26.3060646032841	60.7256917467427	19.7630034495109	22.4162579119919	22.7787912532045	30.1696257035557	21.5892822021068	24.9792904254961	36.4602997708278	15.864311259502	24.5919092618529	38.1346211712691	28.9466422528855	24.7678850367131	28.9104552854636	40.0884122712115	15.8632655825258	28.638085175802	31.3704986602183	21.4527153104007	25.2944665046783	43.6624408186487	26.7644024308605	18.7700890683001	25.0474357258781	21.4763447565314	36.403226782022	26.0780196664321	52.6253138629393	29.8210662618587	23.2109113745633	50.3634639624234	27.9956461171159	22.3659363668305
Asn	23.871531120006	36.6651074139804	36.4707116291014	19.7146069685002	42.9265744011053	44.8988155304448	35.5063411366408	31.2734476820097	21.9337189439681	36.8874170494209	49.0758044505865	53.3198356547488	93.5006782001248	54.7151537711235	25.8335005684945	56.560391590829	30.8580229299381	41.6752963997595	50.1133407570499	65.7697840337513	25.797362631331	28.464772810449	35.021077411453	44.1628124251001	38.3873705550874	64.9480266823177	42.0465825425125	27.7064476681876	72.2761382136591	48.0071109914508	32.7929691874062	37.3317896041705	30.4990959196567	25.0281678621341	60.3175739726944	52.9241706892712	40.1466036462908	23.5048863107542	30.537284652098	34.7802751366836	46.6708035666948	57.4437483896522	51.4322966720918	46.42910624154	33.1317041394976	39.3750718251673	35.6308223308747	39.270423155714
Phe	10.8861149020765	8.36599531895082	5.87178536773805	8.82984909991293	60.1456525216476	20.5785238016767	5.37816637805001	13.0390543752077	4.95324087319234	15.8742004140029	13.1608843840105	21.1839957384184	24.8791758930178	16.9692949349387	13.7043570088965	11.5317667793396	14.3389468143115	14.260107732746	9.81657432578574	15.0025320544045	5.66958248305932	8.10329906244982	15.2190495704088	16.5025912311268	15.8743228023435	14.5005941248834	12.1491381718315	17.7777254292165	40.7316804407878	18.6141771571125	15.6367629181458	23.2380040637832	17.0753441781479	19.3881606222433	13.3195414659339	15.2804541761914	18.8430854275937	8.15907024815749	13.1555929815284	12.8950216974722	15.7125038674539	14.7937759340175	22.3327768318435	27.3802719277105	11.8564534459142	17.2729239498831	11.3944095200636	7.63169371381363
