	sample_GBM1_exosome_clean_fq	sample_GBM2_exosome_clean_fq	sample_GBM3_exosome_clean_fq	sample_GBM4_exosome_clean_fq
hsa-miR-128-3p	161.05897221638	1734.7581427288	328.468004778384	1952.83379093405
hsa-miR-25-3p	142.455369008499	1023.42295616416	436.733995180197	496.269493487524
hsa-miR-99a-5p	129.105561150991	2432.86226327969	384.960307276182	3154.59631131395
hsa-miR-125b-1-3p	128.847177773104	91.4597438200998	13.8936985261407	33.6988078137595
hsa-miR-224-5p	117.478309146065	1.32310660137577	0.262145255210202	194.434847961404
hsa-miR-30a-5p	105.248162592736	460.110320628423	97.7801801934055	1236.91595299138
hsa-miR-370-3p	104.90365142222	143.557066249271	0.524290510420405	53.5786800492148
hsa-miR-27a-3p	102.147562058089	64.9976117925845	5.50505035941425	219.648344455152
hsa-miR-493-3p	94.7405718919882	6.61553300687883	0	29.5773708868969
hsa-miR-323a-3p	91.4677157720831	40.1066688542029	0.524290510420405	73.5797710178131
hsa-miR-99b-5p	91.1232046015668	554.381665976446	155.97642685007	323.896454958149
hsa-miR-92b-3p	86.1277926290801	234.934115906784	42.4675313440528	371.171760883927
hsa-let-7e-5p	68.816106310635	79.8825610580619	62.7837886228435	129.946481929317
hsa-miR-1307-3p	68.5577229327478	136.77614491722	54.7883583389323	177.221787855095
hsa-miR-320b	67.88305522382	89.1994367094162	19.8138122063045	25.0720746384146
hsa-miR-214-3p	67.5241894211988	0.661553300687883	0	2.66681212914644
hsa-miR-125b-5p	66.4906559096499	413.305424604755	52.1669057868303	138.189355783043
hsa-miR-485-3p	62.7010330339704	8.43480458377051	0	5.09118679200684
hsa-miR-654-3p	53.9159981858042	23.9813071499358	0.524290510420405	23.2739967634598
hsa-miR-146b-5p	52.9685924668843	101.217655005246	132.121208625942	224.739531247159
hsa-miR-155-5p	52.5379535037389	0.165388325171971	2.09716204168162	0.48487493257208
hsa-let-7d-3p	48.9205862133175	87.3250356908006	9.9615196979877	33.9412452800456
hsa-miR-433-3p	48.7483306280594	14.7195609403054	0	10.9096859828718
hsa-miR-148a-3p	48.2315638722849	533.70812532995	65.0120232921302	2203.27169360753
hsa-miR-381-3p	42.8916407292819	20.8389289716683	0	54.790867380645
hsa-miR-28-3p	41.5135960472166	194.331282077066	58.196246656665	101.581298373851
hsa-miR-29a-3p	39.1020178536024	33.0776650343942	5.76719561462445	62.0639913692262
hsa-miR-23a-3p	38.671378890457	19.3504340451206	0.393217882815304	59.3971792400798
hsa-miR-140-3p	38.0684843420534	2598.08520012649	167.248672824109	165.099914540793
hsa-miR-378a-3p	37.5230083220693	1776.95973036852	420.087771474349	514.209865992691
hsa-miR-379-5p	35.6569061484392	103.20231490731	0.262145255210202	60.3669291052239
hsa-let-7d-5p	33.8482225032285	281.490929442694	90.0468951647046	250.316683940336
hsa-miR-584-5p	30.1447274201781	214.508657748046	75.7599787557485	0.24243746628604
hsa-miR-361-3p	28.9389383233709	105.517751459717	23.8552182241284	77.0951142789607
hsa-miR-125a-5p	28.5944271528546	28.7775685799229	11.0101007188285	56.9728045772194
hsa-miR-484	27.0441268855312	112.960226092456	12.5829722500897	37.3353698080501
hsa-miR-532-5p	26.5273601297567	767.567217123116	228.066372032876	808.286512597657
hsa-miR-99b-3p	25.838337788724	46.9702843488397	7.07792189067547	29.0924959543248
hsa-miR-320c	23.4497270064776	34.2767303918909	9.19692937029127	13.847219949371
hsa-miR-574-3p	21.3596925720119	5.12703808033109	0	2.66681212914644
hsa-miR-671-3p	20.1539034752048	4.79626142998715	5.50505035941425	5.57606172457892
hsa-miR-455-5p	19.9816478899466	17.6965507934009	1.57287153126121	48.487493257208
hsa-miR-424-3p	19.6371367194303	472.679833341492	18.6123131199244	65.2156784309447
hsa-miR-93-5p	18.9481143783976	220.297249129065	88.3429510058382	124.370420204738
hsa-miR-30e-5p	18.259092037365	166.876820098519	22.5444919480774	332.381766278161
hsa-miR-185-5p	17.225558525816	117.756487522443	7.34006714588567	97.7022989132741
hsa-miR-152-3p	15.6752582584926	11.7425710872099	4.71861459378365	177.949100253953
hsa-miR-30a-3p	15.1584915027181	30.5968401568146	4.71861459378365	76.8526768126746
hsa-miR-328-3p	14.9862359174599	6.61553300687883	0.786435765630607	11.6369983817299
hsa-miR-574-5p	14.6417247469436	11.246406111694	0.786435765630607	1.45462479771624
