	sample_DKO1_cell_1_fastq	sample_DKO1_cell_2_fastq	sample_DKO1_cell_3_fastq	sample_DKO1_exo_1_fastq	sample_DKO1_exo_2_fastq	sample_DKO1_exo_3_fastq	sample_DKS8_cell_1_fastq	sample_DKS8_cell_2_fastq	sample_DKS8_cell_3_fastq	sample_DKS8_exo_1_fastq	sample_DKS8_exo_2_fastq	sample_DKS8_exo_3_fastq	sample_DLD1_cell_1_fastq	sample_DLD1_cell_2_fastq	sample_DLD1_cell_3_fastq	sample_DLD1_exo_1_fastq	sample_DLD1_exo_2_fastq	sample_DLD1_exo_3_fastq
hsa-miR-126-5p	13.9067382496795	10.2707740055291	10.2054362414966	17.8772960070771	4.13942875506868	0	39.4469180517099	41.1363075963292	40.1073169399653	1.23942000101632	0	2.34551720061584	13.1637029876226	16.5189989809314	15.5823439637529	0	1.77258764116445	0
hsa-miR-3074-5p	13.7749208255119	9.75073481537569	15.1461633107925	12.1104263273748	9.03148092014986	0	13.9590521430168	11.3596149061544	13.1880926108203	7.43652000609795	4.54690128677306	6.56744816172435	16.0116194993679	17.594654728527	16.6413382137167	2.93129341367683	0	9.17473278590761
hsa-miR-378f	13.1817424167578	18.9164255418288	15.0246700222033	21.6257612988836	11.4775070026904	5.13658779633666	15.2136874028633	18.9488044392022	19.0839457780106	4.9576800040653	1.51563376225769	7.03655160184752	14.3661566259151	15.6738408935349	11.8002216424537	2.93129341367683	24.8162269763023	19.368880325805
hsa-miR-188-5p	13.1817424167578	10.4657887018366	7.93756152116401	9.80367845549389	1.50524682002498	0	16.0929199865353	14.6949911977486	15.4378260561955	0	0	0	10.5689346102547	10.9870551361544	12.6575027019482	0	0	0
hsa-miR-190b	13.115833704674	7.02052906707049	12.4733109618292	11.8220828433897	5.26836387008742	0	85.0583432069177	68.5927385184384	67.4144263458992	11.1547800091469	9.09380257354613	18.7641376049267	12.2776845173019	11.7169643934514	13.2122139757387	1.95419560911789	0	4.07765901595894
hsa-miR-190a-5p	13.115833704674	7.47556335845469	11.420369127389	0.288343483985115	0	0	20.1235592465147	18.658771718194	16.601481286562	0	0	0	11.9612493493302	10.8718063060549	15.8849137494569	0	0	0
hsa-miR-100-5p	13.115833704674	22.0691631321336	15.7941275166019	61.4171620888294	49.8613009133273	11.8536641453923	11.2620802852365	14.0665869688975	10.8607821500873	0	0	0.938206880246336	18.827892494316	19.9188394688673	13.9686384399986	10.7480758501484	12.4081134881511	23.4465393417639
hsa-miR-641	12.6544727200875	4.42033311630364	7.45158836680703	0	0.752623410012488	1.18536641453923	5.21612139526743	2.94866599691666	3.2582346450262	0	0	0	7.08814776256604	12.7926201410469	7.36253145212922	0	0	0
hsa-miR-579-5p	12.6544727200875	10.3357789042982	9.23348993278262	1.15337393594046	1.31709096752185	0	10.0469610965662	9.37772464593168	11.8692833497383	0	0	1.4073103203695	10.3157864758774	12.7157875876472	10.9429405829592	0	1.77258764116445	0
hsa-miR-182-3p	12.5226552959199	10.9208229932208	11.8253467560199	3.17177832383626	0.564467557509366	0	14.7592525843362	13.6798766742199	11.0935131961606	3.71826000304897	1.51563376225769	3.28372408086217	12.9738418868396	12.7542038643471	16.3387684280128	0	0	1.01941475398973
hsa-miR-675-5p	12.2590204475847	9.9457495116832	11.5013646531152	2.88343483985115	3.95127290256556	0	10.5507910040637	9.03935313808878	12.1020143958116	0	0	0.469103440123168	8.10074030007547	7.60642278656842	12.2036480233923	0	3.5451752823289	1.01941475398973
hsa-miR-378e	12.0283399552915	17.3942274956507	13.2630173376592	26.5276005266305	14.4880006427404	10.2731755926733	14.6505833886015	15.4966094127574	17.1639146479059	8.67594000711427	3.03126752451538	6.09834472160118	10.6322216438491	13.964316580392	10.2747656395297	6.8396846319126	26.5888146174667	32.6212721276715
hsa-miR-4661-5p	11.9953855992496	25.1568958236693	9.31448545850879	6.63190013165763	2.63418193504371	7.90244276359487	18.0193284563784	22.1391643702923	20.0924469776615	3.71826000304897	7.57816881128844	7.50565504197068	9.05004580399056	10.4108109856568	6.85824847595599	10.7480758501484	1.77258764116445	8.15531803191788
hsa-miR-1276	11.7317507509144	9.75073481537569	6.56063758381923	4.32515225977672	2.25787023003746	6.3219542108759	14.5517932106608	15.2267178529303	17.7651365169285	0	1.51563376225769	3.28372408086217	6.26541632583962	7.41434140306922	5.49668444028826	2.93129341367683	0	3.0582442619692
hsa-miR-30b-3p	11.3362984784117	7.93059764983889	12.1493288589245	2.30674787188092	2.44602608254059	0	13.6626816091948	12.6647621506912	14.1965938104713	0	1.51563376225769	0	11.2018049461981	12.3316248206488	15.9857703446915	0	1.77258764116445	2.03882950797947
hsa-miR-194-3p	11.1385723421603	12.2209209686042	14.6601901564356	2.0184043878958	4.70389631257805	0	24.2134726132584	21.8491316492841	26.1434541755673	8.67594000711427	3.03126752451538	0.938206880246336	11.4549530805755	10.7949737526552	13.7669252495293	5.86258682735366	8.86293820582224	6.11648852393841
hsa-miR-517a-3p|hsa-miR-517b-3p	11.0726636300765	8.12561234614641	9.39548098423495	3.46012180782137	1.6934026725281	5.92683207269615	2.2227790036651	1.06345331036339	2.48246449144853	0	0	0	3.48078684768868	6.22343682537417	6.40439379740008	3.90839121823577	0	0
hsa-miR-3179	11.0067549179928	9.88074461291403	15.389149887971	7.49693058361298	10.3485718876717	0.790244276359487	17.3376762285877	15.1783790660956	19.937292946946	0	3.03126752451538	7.50565504197068	12.2776845173019	14.0219409954418	17.6499041660632	0.977097804558943	0	2.03882950797947
hsa-miR-3660	10.8749374938252	13.1309895513726	11.1773825502105	2.88343483985115	3.01049364004995	3.95122138179743	12.0326436731737	10.1994840221216	8.22316362792326	3.71826000304897	0	4.22193096110851	9.61962910633962	12.6389550342475	9.48051995205681	4.88548902279471	5.31776292349335	7.13590327792814
hsa-miR-3662	10.6772113575738	20.1515186184431	10.2054362414966	0	0	0	7.32035218540372	10.296161595791	4.73219793682376	0	0	0	8.35388843445283	10.1418970487579	4.0846921070032	0	0	0
hsa-miR-301b-5p	10.6772113575738	6.24047028184044	7.93756152116401	0.288343483985115	1.50524682002498	0	6.31269237040887	4.15713566778415	9.15408781221646	0	0	0	6.708425561	11.332801626453	8.1693842140064	0.977097804558943	0	0
hsa-miR-675-3p	10.61130264549	9.75073481537569	6.72262863527156	11.8220828433897	11.2893511501873	1.18536641453923	7.11289281172831	6.09068714117212	7.75770153577666	0	0	0	7.34129589694339	7.26067629626986	7.05996166642528	0.977097804558943	10.6355258469867	3.0582442619692
hsa-miR-6842-3p	10.5453939334062	17.6813324652146	8.01855704689017	8.36196103556832	3.3868053450562	13.829274836291	9.92841288303743	12.5197457901871	9.69712691972082	1.23942000101632	6.06253504903075	1.87641376049267	10.3157864758774	9.64248545165997	5.5975410355229	12.7022714592663	12.4081134881511	11.2135622938871
